letter,start_position,end_position,blue_motion_type,blue_rotation_direction,blue_start_location,blue_end_location,blue_start_orientation,red_motion_type,red_rotation_direction,red_start_location,red_end_location,red_start_orientation
W-,gamma3,alpha1,pro,cw,e,s,clock,dash,None,s,n,clock
W-,gamma3,alpha1,pro,cw,e,s,clock,dash,None,s,n,counter
W-,gamma3,alpha1,pro,cw,e,s,counter,dash,None,s,n,in
W-,gamma3,alpha1,pro,cw,e,s,counter,dash,None,s,n,out
W-,gamma3,alpha1,pro,cw,e,s,counter,dash,None,s,n,clock
W-,gamma3,alpha1,pro,cw,e,s,counter,dash,None,s,n,counter
W-,gamma4,alpha2,pro,cw,s,w,in,dash,None,w,e,in
W-,gamma4,alpha2,pro,cw,s,w,in,dash,None,w,e,out
W-,gamma4,alpha2,pro,cw,s,w,in,dash,None,w,e,clock
W-,gamma4,alpha2,pro,cw,s,w,in,dash,None,w,e,counter
W-,gamma4,alpha2,pro,cw,s,w,out,dash,None,w,e,in
W-,gamma4,alpha2,pro,cw,s,w,out,dash,None,w,e,out
W-,gamma4,alpha2,pro,cw,s,w,out,dash,None,w,e,clock
W-,gamma4,alpha2,pro,cw,s,w,out,dash,None,w,e,counter
W-,gamma4,alpha2,pro,cw,s,w,clock,dash,None,w,e,in
W-,gamma4,alpha2,pro,cw,s,w,clock,dash,None,w,e,out
W-,gamma4,alpha2,pro,cw,s,w,clock,dash,None,w,e,clock
W-,gamma4,alpha2,pro,cw,s,w,clock,dash,None,w,e,counter
W-,gamma4,alpha2,pro,cw,s,w,counter,dash,None,w,e,in
W-,gamma4,alpha2,pro,cw,s,w,counter,dash,None,w,e,out
W-,gamma4,alpha2,pro,cw,s,w,counter,dash,None,w,e,clock
W-,gamma4,alpha2,pro,cw,s,w,counter,dash,None,w,e,counter
W-,gamma5,alpha3,pro,ccw,e,n,in,dash,None,n,s,in
W-,gamma5,alpha3,pro,ccw,e,n,in,dash,None,n,s,out
W-,gamma5,alpha3,pro,ccw,e,n,in,dash,None,n,s,clock
W-,gamma5,alpha3,pro,ccw,e,n,in,dash,None,n,s,counter
W-,gamma5,alpha3,pro,ccw,e,n,out,dash,None,n,s,in
W-,gamma5,alpha3,pro,ccw,e,n,out,dash,None,n,s,out
W-,gamma5,alpha3,pro,ccw,e,n,out,dash,None,n,s,clock
W-,gamma5,alpha3,pro,ccw,e,n,out,dash,None,n,s,counter
W-,gamma5,alpha3,pro,ccw,e,n,clock,dash,None,n,s,in
W-,gamma5,alpha3,pro,ccw,e,n,clock,dash,None,n,s,out
W-,gamma5,alpha3,pro,ccw,e,n,clock,dash,None,n,s,clock
W-,gamma5,alpha3,pro,ccw,e,n,clock,dash,None,n,s,counter
W-,gamma5,alpha3,pro,ccw,e,n,counter,dash,None,n,s,in
W-,gamma5,alpha3,pro,ccw,e,n,counter,dash,None,n,s,out
W-,gamma5,alpha3,pro,ccw,e,n,counter,dash,None,n,s,clock
W-,gamma5,alpha3,pro,ccw,e,n,counter,dash,None,n,s,counter
W-,gamma6,alpha4,pro,ccw,s,e,in,dash,None,e,w,in
W-,gamma6,alpha4,pro,ccw,s,e,in,dash,None,e,w,out
W-,gamma6,alpha4,pro,ccw,s,e,in,dash,None,e,w,clock
W-,gamma6,alpha4,pro,ccw,s,e,in,dash,None,e,w,counter
W-,gamma6,alpha4,pro,ccw,s,e,out,dash,None,e,w,in
W-,gamma6,alpha4,pro,ccw,s,e,out,dash,None,e,w,out
W-,gamma6,alpha4,pro,ccw,s,e,out,dash,None,e,w,clock
W-,gamma6,alpha4,pro,ccw,s,e,out,dash,None,e,w,counter
W-,gamma6,alpha4,pro,ccw,s,e,clock,dash,None,e,w,in
W-,gamma6,alpha4,pro,ccw,s,e,clock,dash,None,e,w,out
W-,gamma6,alpha4,pro,ccw,s,e,clock,dash,None,e,w,clock
W-,gamma6,alpha4,pro,ccw,s,e,clock,dash,None,e,w,counter
W-,gamma6,alpha4,pro,ccw,s,e,counter,dash,None,e,w,in
W-,gamma6,alpha4,pro,ccw,s,e,counter,dash,None,e,w,out
W-,gamma6,alpha4,pro,ccw,s,e,counter,dash,None,e,w,clock
W-,gamma6,alpha4,pro,ccw,s,e,counter,dash,None,e,w,counter
W-,gamma7,alpha1,pro,ccw,w,s,in,dash,None,s,n,in
W-,gamma7,alpha1,pro,ccw,w,s,in,dash,None,s,n,out
W-,gamma7,alpha1,pro,ccw,w,s,in,dash,None,s,n,clock
W-,gamma7,alpha1,pro,ccw,w,s,in,dash,None,s,n,counter
W-,gamma7,alpha1,pro,ccw,w,s,out,dash,None,s,n,in
W-,gamma7,alpha1,pro,ccw,w,s,out,dash,None,s,n,out
W-,gamma7,alpha1,pro,ccw,w,s,out,dash,None,s,n,clock
W-,gamma7,alpha1,pro,ccw,w,s,out,dash,None,s,n,counter
W-,gamma7,alpha1,pro,ccw,w,s,clock,dash,None,s,n,in
W-,gamma7,alpha1,pro,ccw,w,s,clock,dash,None,s,n,out
W-,gamma7,alpha1,pro,ccw,w,s,clock,dash,None,s,n,clock
W-,gamma7,alpha1,pro,ccw,w,s,clock,dash,None,s,n,counter
W-,gamma7,alpha1,pro,ccw,w,s,counter,dash,None,s,n,in
W-,gamma7,alpha1,pro,ccw,w,s,counter,dash,None,s,n,out
W-,gamma7,alpha1,pro,ccw,w,s,counter,dash,None,s,n,clock
W-,gamma7,alpha1,pro,ccw,w,s,counter,dash,None,s,n,counter
W-,gamma8,alpha2,pro,ccw,n,w,in,dash,None,w,e,in
W-,gamma8,alpha2,pro,ccw,n,w,in,dash,None,w,e,out
W-,gamma8,alpha2,pro,ccw,n,w,in,dash,None,w,e,clock
W-,gamma8,alpha2,pro,ccw,n,w,in,dash,None,w,e,counter
W-,gamma8,alpha2,pro,ccw,n,w,out,dash,None,w,e,in
W-,gamma8,alpha2,pro,ccw,n,w,out,dash,None,w,e,out
W-,gamma8,alpha2,pro,ccw,n,w,out,dash,None,w,e,clock
W-,gamma8,alpha2,pro,ccw,n,w,out,dash,None,w,e,counter
W-,gamma8,alpha2,pro,ccw,n,w,clock,dash,None,w,e,in
W-,gamma8,alpha2,pro,ccw,n,w,clock,dash,None,w,e,out
W-,gamma8,alpha2,pro,ccw,n,w,clock,dash,None,w,e,clock
W-,gamma8,alpha2,pro,ccw,n,w,clock,dash,None,w,e,counter
W-,gamma8,alpha2,pro,ccw,n,w,counter,dash,None,w,e,in
W-,gamma8,alpha2,pro,ccw,n,w,counter,dash,None,w,e,out
W-,gamma8,alpha2,pro,ccw,n,w,counter,dash,None,w,e,clock
W-,gamma8,alpha2,pro,ccw,n,w,counter,dash,None,w,e,counter
